기간 초일,기간 말일,노임단가,일수,월소득
37622 ,37634 ,"50,683",22,"1,115,026"
37635 ,37741 ,"50,683",22,"1,115,026"
37742 ,37864 ,"52,483",22,"1,154,626"
37865 ,38107 ,"52,374",22,"1,152,228"
38108 ,38230 ,"52,565",22,"1,156,430"
38231 ,38472 ,"52,585",22,"1,156,870"
38473 ,38595 ,"53,090",22,"1,167,980"
38596 ,38837 ,"55,252",22,"1,215,544"
38838 ,38960 ,"56,822",22,"1,250,084"
38961 ,39202 ,"57,820",22,"1,272,040"
39203 ,39325 ,"58,883",22,"1,295,426"
39326 ,39568 ,"60,547",22,"1,332,034"
39569 ,39691 ,"63,530",22,"1,397,660"
39692 ,39933 ,"66,622",22,"1,465,684"
39934 ,40056 ,"67,909",22,"1,493,998"
40057 ,40298 ,"68,965",22,"1,517,230"
40299 ,40421 ,"70,497",22,"1,550,934"
40422 ,40663 ,"72,415",22,"1,593,130"
40664 ,40786 ,"74,008",22,"1,628,176"
40787 ,41029 ,"75,608",22,"1,663,376"
41030 ,41152 ,"80,732",22,"1,776,104"
41153 ,41394 ,"81,443",22,"1,791,746"
41395 ,41517 ,"83,975",22,"1,847,450"
41518 ,41759 ,"84,166",22,"1,851,652"
41760 ,41882 ,"86,686",22,"1,907,092"
41883 ,42124 ,"87,805",22,"1,931,710"
42125 ,42247 ,"89,566",22,"1,970,452"
42248 ,42490 ,"94,338",22,"2,075,436"
42491 ,42613 ,"99,882",22,"2,197,404"
42614 ,42855 ,"102,628",22,"2,257,816"
42856 ,42978 ,"106,846",22,"2,350,612"
42979 ,43220 ,"109,819",22,"2,416,018"
43221 ,43343 ,"118,130",22,"2,598,860"
43344 ,43585 ,"125,427",22,"2,759,394"
43586 ,43708 ,"130,264",22,"2,865,808"
43709 ,43951 ,"138,290",22,"3,042,380"
43952 ,60488 ,"138,989",22,"3,057,758"
